complexity,loss,score,equation,sympy_format,lambda_format
1,9.558186e-05,0.0,0.00012738029,0.000127380290000000,PySRFunction(X=>0.000127380290000000)
2,9.5581854e-05,6.277341943433033e-08,abs(-0.0001286283),0.000128628300000000,PySRFunction(X=>0.000128628300000000)
3,9.506332e-05,0.005439794439031604,0.053002033 ^ x0,0.053002033**x0,PySRFunction(X=>0.053002033**x0)
4,9.492237e-05,0.0014837962360242855,-1.4277523e-5 / cos(x2),-1.4277523e-5/cos(x2),PySRFunction(X=>-1.4277523e-5/cos(x2))
5,9.492138e-05,1.0429629629731056e-05,-1.4277523e-5 / sin(cos(x2)),-1.4277523e-5/sin(cos(x2)),PySRFunction(X=>-1.4277523e-5/sin(cos(x2)))
6,9.473893e-05,0.001923966656813576,-1.4277523e-5 / cos(x2 + -0.27052268),-1.4277523e-5/cos(x2 - 0.27052268),PySRFunction(X=>-1.4277523e-5/cos(x2 - 0.27052268))
7,9.4738316e-05,6.480989279387835e-06,-1.4277523e-5 / sin(cos(x2 + -0.27052268)),-1.4277523e-5/sin(cos(x2 - 0.27052268)),PySRFunction(X=>-1.4277523e-5/sin(cos(x2 - 0.27052268)))
9,9.452105e-05,0.0011479806787581572,(sin(-1.3339052 * x0) * -1.4277523e-5) * sqrt(x2),1.4277523e-5*sqrt(x2)*sin(1.3339052*x0),PySRFunction(X=>1.4277523e-5*sqrt(x2)*sin(1.3339052*x0))
12,9.409885e-05,0.0014922451806149714,((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(1.1142416))) * 1.1142416,0.00135952283401992*sin(1.3339052*x0),PySRFunction(X=>0.00135952283401992*sin(1.3339052*x0))
14,9.399858e-05,0.0005330748511442084,0.83128005 * ((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(abs(log(0.33735767))))),0.00172017393567346*sin(1.3339052*x0),PySRFunction(X=>0.00172017393567346*sin(1.3339052*x0))
15,9.399325e-05,5.6704591911640475e-05,((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(abs(log(0.33735767))))) * cos(0.51562613),0.00180026463764253*sin(1.3339052*x0),PySRFunction(X=>0.00180026463764253*sin(1.3339052*x0))
16,9.395271e-05,0.00043140060716088626,((sin(sin(-1.3339052 * x0)) * -1.4277523e-5) / square(log(abs(log(0.33735767))))) * cos(x4),0.00206930737201436*sin(sin(1.3339052*x0))*cos(x4),PySRFunction(X=>0.00206930737201436*sin(sin(1.3339052*x0))*cos(x4))
17,9.392538e-05,0.0002909333407932452,((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(abs(log(0.33735767))))) * cos(square(sin(x2))),0.00206930737201436*sin(1.3339052*x0)*cos(sin(x2)**2),PySRFunction(X=>0.00206930737201436*sin(1.3339052*x0)*cos(sin(x2)**2))
18,9.3899595e-05,0.0002745641271826702,1.3868951 * ((sin(sin(sin(sin(sin(-1.3339052 * x0))))) * -1.4277523e-5) / square(log(abs(log(0.33735767))))),0.00286991225464059*sin(sin(sin(sin(sin(1.3339052*x0))))),PySRFunction(X=>0.00286991225464059*sin(sin(sin(sin(sin(1.3339052*x0))))))
19,9.387817e-05,0.00022819528279051263,1.3868951 * ((sin(sin(sin(sin(sin(sin(-1.3339052 * x0)))))) * -1.4277523e-5) / square(log(abs(log(0.33735767))))),0.00286991225464059*sin(sin(sin(sin(sin(sin(1.3339052*x0)))))),PySRFunction(X=>0.00286991225464059*sin(sin(sin(sin(sin(sin(1.3339052*x0)))))))
20,9.386945e-05,9.289065828128335e-05,1.3868951 * ((sin(sin(sin(sin(sin(sin(sin(-1.3339052 * x0))))))) * -1.4277523e-5) / square(log(abs(log(0.33735767))))),0.00286991225464059*sin(sin(sin(sin(sin(sin(sin(1.3339052*x0))))))),PySRFunction(X=>0.00286991225464059*sin(sin(sin(sin(sin(sin(sin(1.3339052*x0))))))))
